title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
Hypnotic,6.206,1379,70000000,16014123,tt8080204,"[{'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",536437
Godzilla Minus One,7.592,2871,15000000,113676322,tt23289160,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",940721
Anyone But You,6.831,2788,25000000,214891370,tt26047818,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1072790
Creed III,7.1,2745,75000000,275300000,tt11145118,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",677179
Extraction 2,7.406,2713,65000000,0,tt12263384,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",697843
Saltburn,6.962,2696,20000000,21013738,tt17351924,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",930564
65,5.964,2679,45000000,60730568,tt12261776,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",700391
A Haunting in Venice,6.585,2642,60000000,121400000,tt22687790,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",945729
Sound of Freedom,7.979,2628,14500000,250600000,tt7599146,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",678512
The Killer,6.581,2559,175000000,362113,tt1136617,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",800158
Plane,6.907,2506,25000000,74515586,tt5884796,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",646389
Rebel Moon - Part One: A Child of Fire,6.239,2411,83000000,0,tt14998742,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",848326
The Boy and the Heron,7.414,2388,50000000,294200000,tt6587046,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",508883
The Zone of Interest,7.003,2353,15000000,52631884,tt7160372,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",467244
The Nun II,6.675,2349,38500000,269670590,tt10160976,"[{'id': 27, 'name': 'Horror'}]",968051
Cocaine Bear,6.022,2285,32500000,88314672,tt14209916,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",804150
